bag,chest,foot,hand,head,neck,ring,waist,weapon
6202,Studded Leather Armor,Dragonskin Boots of Power,Wool Gloves,Ornate Helm,"""Grim Bite"" Pendant of Enlightenment +1",Bronze Ring of Perfection,Heavy Belt,Mace
6203,Demon Husk,Greaves,Wool Gloves of Fury,War Cap,Amulet of Perfection,Bronze Ring,"""Cataclysm Bender"" Hard Leather Belt of Reflection +1",Short Sword
6204,Hard Leather Armor,Divine Slippers,Gloves,Ancient Helm,Necklace,Silver Ring of Skill,Dragonskin Belt of Enlightenment,Quarterstaff
6205,Hard Leather Armor of Detection,Linen Shoes,Divine Gloves,Linen Hood,Pendant of Rage,Silver Ring,Brightsilk Sash of Fury,Club
6206,Silk Robe,Holy Greaves,Gauntlets of Anger,Ornate Helm,Necklace,Titanium Ring,Demonhide Belt,Katana
6207,Chain Mail,Holy Greaves,Studded Leather Gloves,Leather Cap,Amulet of Titans,Platinum Ring,Wool Sash of Giants,Katana
6208,Divine Robe,Wool Shoes,Holy Gauntlets,War Cap,Necklace,Bronze Ring,Sash,Book
6209,Ornate Chestplate,"""Corruption Moon"" Hard Leather Boots of Vitriol +1","""Fate Glow"" Divine Gloves of Giants",Silk Hood,Amulet,Bronze Ring,Heavy Belt,Book
6210,Holy Chestplate,Ornate Greaves,Leather Gloves,Dragon's Crown of Giants,"""Morbid Root"" Amulet of Vitriol",Silver Ring,"""Skull Moon"" Plated Belt of Protection +1",Bone Wand
6211,Leather Armor,Hard Leather Boots,Hard Leather Gloves of the Fox,War Cap,Necklace,Platinum Ring,Linen Sash,Maul of Titans
6212,Holy Chestplate,Silk Slippers,Chain Gloves,Dragon's Crown,Pendant,Platinum Ring of Enlightenment,"""Foe Grasp"" Sash of Rage +1",Wand
6213,Dragonskin Armor,Ornate Greaves,Dragonskin Gloves,Cap of the Twins,Pendant,Bronze Ring,Dragonskin Belt of Protection,Scimitar
6214,Leather Armor,Studded Leather Boots,Leather Gloves,Ancient Helm,Necklace,Titanium Ring,Wool Sash of Titans,Long Sword of the Fox
6215,Studded Leather Armor,Leather Boots,"""Foe Grasp"" Gloves of Brilliance +1",Ancient Helm of Reflection,Necklace of Enlightenment,Platinum Ring of Power,War Belt,Ghost Wand
6216,Chain Mail,"""Carrion Tear"" Heavy Boots of the Twins",Silk Gloves,Divine Hood,Necklace of Brilliance,Silver Ring,Dragonskin Belt of Brilliance,"""Sorrow Moon"" Book of Skill +1"
6217,Holy Chestplate,"""Honour Bender"" Hard Leather Boots of Reflection +1",Studded Leather Gloves,Dragon's Crown,Pendant,"""Soul Roar"" Bronze Ring of Reflection","""Dusk Root"" Linen Sash of Giants",Quarterstaff
6218,Chain Mail,Silk Slippers,Ornate Gauntlets,Cap of Detection,Amulet,Bronze Ring of Rage,Demonhide Belt,Katana
6219,Holy Chestplate,Demonhide Boots,Gloves,Ornate Helm,Amulet,Silver Ring,Leather Belt,Mace
6220,Studded Leather Armor of Giants,Dragonskin Boots,Chain Gloves,Silk Hood,"""Foe Grasp"" Pendant of Rage +1","""Ghoul Roar"" Titanium Ring of Fury",Brightsilk Sash,Grave Wand
6221,Hard Leather Armor,Ornate Greaves,Linen Gloves,Silk Hood,Pendant,Gold Ring,Sash,Falchion of Fury
6222,Ring Mail of the Twins,Ornate Greaves,Holy Gauntlets of Giants,Helm,Pendant,Titanium Ring,Mesh Belt,Short Sword
6223,Leather Armor,Divine Slippers,Wool Gloves,Linen Hood,Pendant,Platinum Ring,Brightsilk Sash,Chronicle
6224,Holy Chestplate,Ornate Greaves,Dragonskin Gloves,Crown,Pendant,Platinum Ring,Wool Sash,Long Sword
6225,Leather Armor,Studded Leather Boots,Holy Gauntlets,Leather Cap,Pendant of Detection,Gold Ring of Perfection,Mesh Belt,Book
6226,Leather Armor,Chain Boots of Fury,Heavy Gloves of Rage,Leather Cap of Power,Necklace,Gold Ring,Wool Sash,Long Sword of Reflection
6227,Dragonskin Armor,Studded Leather Boots,Holy Gauntlets of Brilliance,Dragon's Crown of Vitriol,Amulet,Bronze Ring,Dragonskin Belt,Wand
6228,Ring Mail,Silk Slippers,Leather Gloves,Cap of Vitriol,Pendant of Rage,Silver Ring,Dragonskin Belt,Maul
6229,Ornate Chestplate of Titans,Leather Boots,Holy Gauntlets,Helm,Pendant,Platinum Ring,Wool Sash,Maul of Enlightenment
6230,Silk Robe,Ornate Greaves,Dragonskin Gloves,Linen Hood,Amulet of Power,"""Dread Peak"" Titanium Ring of the Fox +1","""Blight Peak"" Hard Leather Belt of Anger +1",Short Sword of Rage
6231,Hard Leather Armor,Studded Leather Boots,Wool Gloves,War Cap,Amulet,Bronze Ring,"""Mind Peak"" Demonhide Belt of Power +1",Chronicle
6232,"""Pain Glow"" Chain Mail of Brilliance","""Foe Shout"" Demonhide Boots of Skill +1",Gloves,"""Oblivion Bender"" Leather Cap of the Fox +1",Amulet of the Fox,Silver Ring,Linen Sash,Grimoire
6233,Linen Robe,Heavy Boots,Ornate Gauntlets,Helm,Necklace,Gold Ring,Plated Belt,Mace
6234,Dragonskin Armor,Divine Slippers of the Twins,Heavy Gloves,Ornate Helm,Necklace,Bronze Ring of Fury,Dragonskin Belt of Fury,Warhammer
6235,Plate Mail of Brilliance,Divine Slippers,Gloves of the Twins,Linen Hood,Amulet,Silver Ring,Sash,Short Sword
6236,Leather Armor,Wool Shoes,Divine Gloves,Divine Hood,Necklace of Skill,Silver Ring,Plated Belt,Mace of Vitriol
6237,Dragonskin Armor,Divine Slippers,Wool Gloves,Cap of Giants,Necklace,Titanium Ring of Titans,"""Blight Peak"" Plated Belt of the Fox +1",Katana
6238,Shirt,Greaves,Demon's Hands,Leather Cap,Pendant,Gold Ring,Brightsilk Sash of Skill,Tome
6239,Studded Leather Armor,Studded Leather Boots,Studded Leather Gloves,Ancient Helm,Pendant,Platinum Ring,Silk Sash,Tome of Power
6240,Dragonskin Armor of Giants,Dragonskin Boots,Ornate Gauntlets,War Cap,Necklace,Platinum Ring,Leather Belt,Short Sword
6241,Linen Robe,Shoes,Heavy Gloves,Hood,Amulet,Platinum Ring of the Twins,Ornate Belt of Skill,Mace
6242,Chain Mail,Ornate Greaves,"""Kraken Grasp"" Gauntlets of Giants +1",Crown,Necklace,Gold Ring of Enlightenment,"""Plague Glow"" Heavy Belt of Detection",Chronicle of the Twins
6243,"""Victory Bender"" Ring Mail of Power +1",Shoes,Divine Gloves,Ornate Helm,Pendant,Bronze Ring of Titans,Heavy Belt,Quarterstaff
6244,Leather Armor,Demonhide Boots,"""Eagle Bender"" Gloves of Reflection +1",Full Helm,"""Foe Grasp"" Pendant of Skill +1",Gold Ring,Leather Belt of Reflection,Wand
6245,Ring Mail of Protection,Shoes of Titans,Wool Gloves,Great Helm,Amulet,Bronze Ring,Sash,Grave Wand
6246,Divine Robe,Chain Boots of Skill,Ornate Gauntlets,Ornate Helm,Pendant,Bronze Ring of Fury,Silk Sash,"""Cataclysm Peak"" Grimoire of Fury +1"
6247,Leather Armor,Divine Slippers,Hard Leather Gloves,"""Brimstone Moon"" Great Helm of Rage +1","""Pain Roar"" Amulet of Enlightenment",Titanium Ring,Plated Belt of Vitriol,Club
6248,Divine Robe,Wool Shoes,Leather Gloves,Ornate Helm,Pendant of Brilliance,Gold Ring,War Belt of Brilliance,Grave Wand
6249,"""Hypnotic Tear"" Holy Chestplate of Brilliance",Wool Shoes,Dragonskin Gloves,"""Grim Peak"" Divine Hood of Titans +1",Amulet,Platinum Ring,Heavy Belt,Grimoire of Enlightenment
6250,"""Cataclysm Bite"" Ornate Chestplate of Enlightenment +1","""Honour Moon"" Demonhide Boots of Protection +1",Studded Leather Gloves,Helm,Amulet of the Twins,Gold Ring,Mesh Belt,Scimitar of Giants
6251,"""Storm Glow"" Silk Robe of Rage",Hard Leather Boots,Leather Gloves of Detection,Demon Crown,Pendant,Silver Ring,"""Woe Bite"" Demonhide Belt of Perfection +1",Scimitar
6252,Chain Mail,"""Carrion Tear"" Linen Shoes of Detection",Dragonskin Gloves,Silk Hood,Pendant of Skill,Bronze Ring,Leather Belt of the Twins,Maul
6253,Linen Robe,Greaves of Fury,Leather Gloves of the Fox,Dragon's Crown,Pendant,Gold Ring,Studded Leather Belt of Enlightenment,Tome
6254,Hard Leather Armor,Divine Slippers of Anger,Heavy Gloves,Silk Hood of Brilliance,Necklace of Reflection,Platinum Ring of Titans,War Belt,Bone Wand
6255,Studded Leather Armor,Shoes,Silk Gloves,Ancient Helm,Pendant,"""Dragon Glow"" Platinum Ring of the Twins",Studded Leather Belt,"""Skull Shout"" Grave Wand of the Twins +1"
6256,Dragonskin Armor,Heavy Boots,Holy Gauntlets of Anger,Great Helm,Necklace,Bronze Ring,Wool Sash,Quarterstaff of the Twins
6257,Studded Leather Armor,Hard Leather Boots,Linen Gloves,Cap,Necklace of Enlightenment,Platinum Ring,Hard Leather Belt of Skill,Long Sword
6258,Dragonskin Armor,Hard Leather Boots,Leather Gloves,"""Soul Tear"" Helm of Detection",Amulet,Gold Ring of Titans,Ornate Belt,Wand
6259,Divine Robe,"""Morbid Tear"" Ornate Greaves of Detection",Silk Gloves,Dragon's Crown,Necklace,Platinum Ring,"""Pandemonium Bender"" Demonhide Belt of Anger +1",Katana
6260,Plate Mail,"""Victory Shout"" Demonhide Boots of Protection +1",Heavy Gloves,Ancient Helm,Amulet,"""Dragon Glow"" Gold Ring of Rage",Linen Sash,Maul
6261,Shirt,Heavy Boots,Divine Gloves,War Cap of Anger,Amulet,Silver Ring,Ornate Belt,Quarterstaff
6262,Studded Leather Armor of Detection,Hard Leather Boots,"""Kraken Grasp"" Demon's Hands of Protection +1",Ornate Helm,Pendant of Reflection,"""Plague Glow"" Silver Ring of the Twins","""Pain Root"" Heavy Belt of Brilliance",Bone Wand of Fury
6263,Leather Armor,Divine Slippers,Dragonskin Gloves,Leather Cap,Necklace of Enlightenment,Silver Ring of Giants,Demonhide Belt,Warhammer
6264,Leather Armor,Studded Leather Boots,Linen Gloves,Demon Crown,Pendant,Platinum Ring,Silk Sash,Short Sword
6265,Ornate Chestplate,Shoes,Heavy Gloves,War Cap,Amulet,Bronze Ring,Silk Sash,Ghost Wand
6266,Studded Leather Armor,Hard Leather Boots,"""Demon Moon"" Demon's Hands of Skill +1",Divine Hood of Anger,Pendant of Reflection,Silver Ring,Leather Belt,Grave Wand
6267,Demon Husk,Dragonskin Boots of Protection,Silk Gloves,Helm,Pendant,Bronze Ring,"""Golem Roar"" Heavy Belt of Enlightenment",Grave Wand of Detection
6268,Leather Armor of the Fox,Heavy Boots,Chain Gloves,Helm,Pendant,Titanium Ring,Brightsilk Sash,"""Corpse Root"" Quarterstaff of the Twins"
6269,Studded Leather Armor,"""Brimstone Peak"" Silk Slippers of Titans +1",Gloves,"""Eagle Bite"" Demon Crown of Titans +1",Necklace,Bronze Ring,Ornate Belt of Brilliance,Club of the Fox
6270,Hard Leather Armor,Leather Boots,Hard Leather Gloves,Dragon's Crown,Amulet,Bronze Ring,War Belt,Katana
6271,"""Storm Whisper"" Studded Leather Armor of Anger",Leather Boots,"""Ghoul Glow"" Studded Leather Gloves of Giants",Dragon's Crown of Enlightenment,Necklace,Gold Ring,Mesh Belt of Titans,"""Pain Glow"" Scimitar of Rage"
6272,Silk Robe,Linen Shoes of Giants,Silk Gloves,"""Apocalypse Roar"" Ornate Helm of Fury",Amulet,Titanium Ring,"""Cataclysm Moon"" Silk Sash of Skill +1",Tome of the Fox
6273,Leather Armor of Rage,Studded Leather Boots,Studded Leather Gloves of Detection,Leather Cap of Vitriol,Necklace,Silver Ring,War Belt,Book
6274,Hard Leather Armor,Shoes,Divine Gloves,Leather Cap,Necklace,Platinum Ring,Hard Leather Belt,Long Sword
6275,"""Rage Shout"" Demon Husk of Vitriol +1",Chain Boots,Wool Gloves,Ornate Helm,Amulet,Titanium Ring,Linen Sash,Tome
6276,Shirt,"""Light's Tear"" Studded Leather Boots of Rage",Heavy Gloves,War Cap,Pendant,Gold Ring,Sash,Wand
6277,Dragonskin Armor,Studded Leather Boots of Detection,"""Rage Bender"" Hard Leather Gloves of Fury +1",Demon Crown,Necklace of Protection,Silver Ring,Plated Belt,Long Sword
6278,Linen Robe,Leather Boots,Holy Gauntlets,War Cap,Amulet,"""Apocalypse Root"" Titanium Ring of Giants",Demonhide Belt,Short Sword
6279,Ring Mail,Hard Leather Boots,Silk Gloves,Hood,Amulet,Titanium Ring,Leather Belt,Falchion
6280,Robe,Linen Shoes,Wool Gloves,Linen Hood,Amulet,Titanium Ring,"""Foe Bite"" Demonhide Belt of Reflection +1",Grimoire
6281,"""Dread Bender"" Demon Husk of Fury +1",Studded Leather Boots,Chain Gloves,"""Morbid Sun"" Helm of Power",Amulet,Platinum Ring of Fury,Leather Belt,Short Sword of Protection
6282,Divine Robe,Shoes,Dragonskin Gloves,Divine Hood,Pendant,Platinum Ring,Silk Sash,Grimoire
6283,Leather Armor,Studded Leather Boots,Dragonskin Gloves,Demon Crown,Pendant,Titanium Ring,Demonhide Belt,Katana of Detection
6284,Linen Robe,Dragonskin Boots,Heavy Gloves,Ornate Helm,Necklace of Rage,Titanium Ring,"""Fate Root"" Linen Sash of Skill",Scimitar
6285,Plate Mail of the Fox,Chain Boots,Heavy Gloves,War Cap,Pendant of Power,Titanium Ring,Wool Sash,Tome
6286,Plate Mail of Titans,Greaves,Studded Leather Gloves,Hood,Pendant,Silver Ring,"""Apocalypse Glow"" Studded Leather Belt of Protection",Mace
6287,Dragonskin Armor of Skill,Greaves of Titans,Wool Gloves,War Cap,Necklace,Gold Ring,Wool Sash,Falchion
6288,Demon Husk,Heavy Boots,Hard Leather Gloves of Fury,Great Helm,Pendant,Bronze Ring,Plated Belt,Tome
6289,Chain Mail,Holy Greaves,Chain Gloves,Hood,"""Kraken Peak"" Pendant of Anger +1",Silver Ring,War Belt,Falchion
6290,"""Dusk Roar"" Silk Robe of Anger",Linen Shoes,Divine Gloves,Cap,Amulet,Silver Ring,Dragonskin Belt,Chronicle
6291,Demon Husk,Linen Shoes,Gauntlets,Linen Hood,Pendant of Skill,Gold Ring,"""Light's Glow"" War Belt of Brilliance",Scimitar of Giants
6292,Ornate Chestplate,Heavy Boots,Hard Leather Gloves,Crown,Amulet,Bronze Ring,Sash,"""Bramble Roar"" Club of Reflection"
6293,Holy Chestplate,Demonhide Boots,Dragonskin Gloves,Great Helm,Amulet,"""Dread Shout"" Platinum Ring of Protection +1",Wool Sash,Quarterstaff
6294,Dragonskin Armor,Divine Slippers,Ornate Gauntlets,"""Sorrow Grasp"" Divine Hood of Brilliance +1",Pendant,Gold Ring,Heavy Belt,Book
6295,Silk Robe,Greaves,Chain Gloves,Great Helm,Necklace,Silver Ring,"""Demon Bender"" Sash of Perfection +1",Warhammer
6296,Linen Robe of Vitriol,"""Vengeance Whisper"" Heavy Boots of Power",Leather Gloves,Helm,Amulet,Platinum Ring,Wool Sash,Maul
6297,Leather Armor,Chain Boots,Gloves,Silk Hood,Pendant,Platinum Ring,Hard Leather Belt,Ghost Wand
6298,Robe,Demonhide Boots,Wool Gloves,Helm,Pendant,Platinum Ring,Hard Leather Belt of Titans,Wand
6299,Holy Chestplate,Hard Leather Boots,Linen Gloves,Hood of Skill,Necklace of Detection,Titanium Ring,Linen Sash,Falchion
6300,"""Light's Root"" Chain Mail of Brilliance","""Foe Peak"" Demonhide Boots of the Fox +1",Divine Gloves of Rage,Full Helm of Titans,Necklace,Platinum Ring,Hard Leather Belt,Tome
6301,Dragonskin Armor,Leather Boots,Gloves,Dragon's Crown,Pendant of Detection,Platinum Ring,Dragonskin Belt,Short Sword
6302,Silk Robe,Studded Leather Boots of Detection,Studded Leather Gloves,Leather Cap,Necklace,Titanium Ring,Hard Leather Belt,Tome
6303,Ring Mail of Giants,Silk Slippers of Skill,"""Grim Bender"" Hard Leather Gloves of Anger +1",Cap,Pendant,"""Eagle Bite"" Bronze Ring of Titans +1",Dragonskin Belt,Chronicle of Vitriol
6304,Robe of Anger,Holy Greaves,"""Grim Shout"" Demon's Hands of Skill +1",Leather Cap,Necklace of Detection,Silver Ring,Studded Leather Belt,Maul
6305,"""Demon Bite"" Demon Husk of Power +1",Hard Leather Boots,Studded Leather Gloves,Crown of Rage,Necklace,Bronze Ring of the Fox,Heavy Belt,Mace
6306,Dragonskin Armor,"""Dusk Glow"" Divine Slippers of the Twins",Linen Gloves,Crown,"""Morbid Glow"" Amulet of the Twins",Gold Ring of Skill,Demonhide Belt,Katana
6307,Divine Robe of Giants,Holy Greaves,Silk Gloves,Silk Hood,Necklace,"""Corruption Grasp"" Titanium Ring of Protection +1",Plated Belt,Quarterstaff
6308,"""Tempest Peak"" Ornate Chestplate of Power +1",Linen Shoes,Studded Leather Gloves,Helm,Amulet,Titanium Ring of Brilliance,Ornate Belt,Wand of Vitriol
6309,"""Dread Moon"" Ornate Chestplate of Rage +1",Dragonskin Boots of Reflection,Wool Gloves of Perfection,Ancient Helm of Rage,Pendant,Titanium Ring of Protection,Linen Sash,Long Sword
6310,Robe,Studded Leather Boots,Dragonskin Gloves,Leather Cap,Amulet,Titanium Ring,Brightsilk Sash,Chronicle
6311,Hard Leather Armor,Greaves,Silk Gloves,Crown,Necklace,Platinum Ring,Dragonskin Belt,Club
6312,Shirt,Heavy Boots,Wool Gloves,"""Rune Whisper"" Linen Hood of Titans",Amulet,Silver Ring,War Belt of Skill,Short Sword
6313,"""Behemoth Roar"" Holy Chestplate of Enlightenment",Linen Shoes,Studded Leather Gloves,Dragon's Crown,Pendant,"""Soul Tear"" Bronze Ring of Giants",Ornate Belt of Anger,Katana of Vitriol
6314,Hard Leather Armor,Holy Greaves of Skill,Heavy Gloves,War Cap,"""Eagle Moon"" Pendant of Brilliance +1",Gold Ring,"""Apocalypse Root"" War Belt of Brilliance",Maul
6315,Shirt,Linen Shoes,Chain Gloves,"""Gloom Grasp"" Hood of Brilliance +1",Necklace,Gold Ring,Dragonskin Belt of Anger,Grimoire
6316,Leather Armor,Holy Greaves,Demon's Hands,Linen Hood,Pendant,Silver Ring,Studded Leather Belt,"""Mind Peak"" Grimoire of Reflection +1"
6317,Divine Robe,Dragonskin Boots of Enlightenment,Linen Gloves,Demon Crown,Necklace of Protection,Titanium Ring,Wool Sash of Anger,Ghost Wand
6318,Leather Armor,Greaves,Demon's Hands of Detection,Silk Hood,Necklace,Silver Ring,Mesh Belt of Power,Falchion of the Fox
6319,Robe,Shoes,Heavy Gloves,Cap,Pendant,Silver Ring,Leather Belt,Scimitar
6320,Plate Mail,Ornate Greaves,Demon's Hands,Hood,Amulet,"""Plague Roar"" Silver Ring of Enlightenment",Hard Leather Belt,Falchion
6321,Holy Chestplate,Ornate Greaves,Wool Gloves of Titans,Full Helm of Titans,Amulet,Bronze Ring,Plated Belt,Ghost Wand
6322,Studded Leather Armor,Shoes of Fury,Wool Gloves,Divine Hood,"""Tempest Grasp"" Pendant of Detection +1",Gold Ring,"""Golem Whisper"" Heavy Belt of Fury",Falchion
6323,Holy Chestplate,Ornate Greaves of Fury,Linen Gloves,Demon Crown,Pendant,Titanium Ring,"""Tempest Grasp"" Demonhide Belt of Rage +1",Falchion of Reflection
6324,Studded Leather Armor,Shoes,"""Corpse Tear"" Ornate Gauntlets of Protection",Full Helm,Necklace,Platinum Ring,Silk Sash,Quarterstaff
6325,Hard Leather Armor,Heavy Boots,Heavy Gloves,Linen Hood,Amulet of Power,Bronze Ring,Leather Belt of Protection,Warhammer
6326,Hard Leather Armor,Dragonskin Boots,"""Kraken Bender"" Silk Gloves of the Fox +1",Helm,Necklace,Bronze Ring,Dragonskin Belt of Protection,Warhammer
6327,Linen Robe,Divine Slippers,Gloves,Hood,Amulet,Bronze Ring of Anger,Studded Leather Belt,Scimitar
6328,Dragonskin Armor of the Twins,Leather Boots,Demon's Hands,Dragon's Crown of Perfection,Necklace,Titanium Ring,"""Sorrow Grasp"" Hard Leather Belt of Brilliance +1",Short Sword of the Twins
6329,Demon Husk,Shoes,Divine Gloves,"""Woe Shout"" Demon Crown of Protection +1",Necklace,"""Oblivion Shout"" Platinum Ring of Giants +1","""Golem Glow"" War Belt of Protection",Short Sword
6330,Robe,Ornate Greaves,Wool Gloves,Hood of Enlightenment,Amulet,Titanium Ring,Demonhide Belt of Perfection,Grave Wand of Detection
6331,Chain Mail,Heavy Boots,Ornate Gauntlets,War Cap,Amulet of Rage,Silver Ring,Hard Leather Belt,Short Sword of Rage
6332,Ornate Chestplate,Ornate Greaves,"""Mind Bite"" Gauntlets of Fury +1",Linen Hood,Pendant,Gold Ring,"""Woe Moon"" Plated Belt of Protection +1",Short Sword
6333,Robe,Studded Leather Boots,Dragonskin Gloves,"""Soul Glow"" War Cap of Giants",Necklace,Titanium Ring of Titans,Mesh Belt,Chronicle
6334,Demon Husk,Leather Boots,Leather Gloves,Ornate Helm of the Fox,Necklace,Titanium Ring,War Belt of Titans,Maul
6335,Dragonskin Armor,Dragonskin Boots of the Fox,Divine Gloves,Cap of Reflection,Necklace of Anger,Silver Ring,Leather Belt,Quarterstaff
6336,Ring Mail,Dragonskin Boots of the Twins,"""Light's Whisper"" Ornate Gauntlets of Enlightenment",Dragon's Crown,Amulet,Gold Ring,Studded Leather Belt,Long Sword
6337,Leather Armor,"""Morbid Whisper"" Studded Leather Boots of Reflection",Ornate Gauntlets,Full Helm,Amulet,"""Soul Whisper"" Platinum Ring of Enlightenment",Linen Sash,"""Dusk Tear"" Wand of Giants"
6338,Plate Mail,Divine Slippers,Linen Gloves of Skill,Ornate Helm,Necklace of Enlightenment,Silver Ring of Protection,Wool Sash,Maul
6339,Leather Armor,Ornate Greaves,Dragonskin Gloves,Dragon's Crown,Necklace,Gold Ring,Wool Sash,"""Light's Root"" Quarterstaff of Brilliance"
6340,Plate Mail,Holy Greaves,Gloves of Rage,Cap,Pendant,Bronze Ring,Studded Leather Belt of the Twins,Wand
6341,Ring Mail of Detection,Holy Greaves,Wool Gloves,Divine Hood,Necklace,Bronze Ring of Vitriol,Hard Leather Belt of Vitriol,Warhammer of Fury
6342,Holy Chestplate,Holy Greaves,Ornate Gauntlets,"""Shimmering Grasp"" Divine Hood of Brilliance +1",Necklace of Vitriol,Gold Ring,Leather Belt,Grimoire
6343,Ring Mail,Heavy Boots,"""Vengeance Whisper"" Heavy Gloves of Power",Great Helm of Anger,Amulet,Platinum Ring,Leather Belt,"""Honour Peak"" Grimoire of the Fox +1"
6344,Studded Leather Armor,Shoes,Leather Gloves,"""Maelstrom Tear"" Helm of Brilliance",Amulet,Platinum Ring,War Belt,Grimoire
6345,Linen Robe of Rage,Linen Shoes,Chain Gloves,Linen Hood,Amulet,"""Cataclysm Moon"" Bronze Ring of Vitriol +1",Sash,Chronicle
6346,Robe,Shoes,Heavy Gloves,Ornate Helm,Necklace,Platinum Ring of Titans,Brightsilk Sash of Rage,Short Sword
6347,Demon Husk,Silk Slippers,Gloves,Silk Hood of Skill,Pendant,Gold Ring,Demonhide Belt,Bone Wand
6348,Silk Robe,Silk Slippers,Ornate Gauntlets,Hood,Pendant,Silver Ring of Rage,Sash of Rage,Warhammer
6349,Robe of Rage,Hard Leather Boots,Linen Gloves,Great Helm,Amulet,Gold Ring,"""Hypnotic Root"" Linen Sash of Protection",Quarterstaff
